ИНД (ТБ_ГОСБ_ТН);ИНД (ТБ_ГОСБ_ФИО);ТН 10;ТБ;ГОСБ;КМ;Эффективный КМ;2025, тыс. руб.;2024, тыс. руб. на конец месяца;Прирост, %;Прирост, тыс. руб.;ОД конец квартала, тыс. руб.
Байкальский банк_Аппарат Байкальского Банка_1319284636;Байкальский банк_Аппарат Байкальского Банка_Новиков Юлия Николаевна;1319284636;Байкальский банк;Аппарат Байкальского Банка;Новиков Юлия Николаевна;👍;99640;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_1319284636;Байкальский банк_Аппарат Байкальского Банка_Новиков Юлия Николаевна;1319284636;Байкальский банк;Аппарат Байкальского Банка;Новиков Юлия Николаевна;👍;152251;99640.0;52.8;52611.0;152251.0
Байкальский банк_Аппарат Байкальского Банка_1374126228;Байкальский банк_Аппарат Байкальского Банка_Козлов Ксения Дмитриевна;1374126228;Байкальский банк;Аппарат Байкальского Банка;Козлов Ксения Дмитриевна;👍;170620;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_1374126228;Байкальский банк_Аппарат Байкальского Банка_Козлов Ксения Дмитриевна;1374126228;Байкальский банк;Аппарат Байкальского Банка;Козлов Ксения Дмитриевна;👍;205824;170620.0;20.63;35204.0;205824.0
Байкальский банк_Аппарат Байкальского Банка_1436378192;Байкальский банк_Аппарат Байкальского Банка_Иванов Константин Дмитриевич;1436378192;Байкальский банк;Аппарат Байкальского Банка;Иванов Константин Дмитриевич;👍;175433;98793.0;77.58;76640.0;175433.0
Байкальский банк_Аппарат Байкальского Банка_1436378192;Байкальский банк_Аппарат Байкальского Банка_Иванов Константин Дмитриевич;1436378192;Байкальский банк;Аппарат Байкальского Банка;Иванов Константин Дмитриевич;👍;98793;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_1504572618;Байкальский банк_Аппарат Байкальского Банка_Морозов Анна Александровна;1504572618;Байкальский банк;Аппарат Байкальского Банка;Морозов Анна Александровна;👎;203666;157536.0;29.28;46130.0;203666.0
Байкальский банк_Аппарат Байкальского Банка_1504572618;Байкальский банк_Аппарат Байкальского Банка_Морозов Анна Александровна;1504572618;Байкальский банк;Аппарат Байкальского Банка;Морозов Анна Александровна;👎;157536;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_1540429176;Байкальский банк_Аппарат Байкальского Банка_Семенов Ольга Андреевна;1540429176;Байкальский банк;Аппарат Байкальского Банка;Семенов Ольга Андреевна;👍;76892;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_1540429176;Байкальский банк_Аппарат Байкальского Банка_Семенов Ольга Андреевна;1540429176;Байкальский банк;Аппарат Байкальского Банка;Семенов Ольга Андреевна;👍;112035;76892.0;45.7;35143.0;112035.0
Байкальский банк_Аппарат Байкальского Банка_1642015209;Байкальский банк_Аппарат Байкальского Банка_Кузнецов Наталья Максимовна;1642015209;Байкальский банк;Аппарат Байкальского Банка;Кузнецов Наталья Максимовна;👎;161725;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_1642015209;Байкальский банк_Аппарат Байкальского Банка_Кузнецов Наталья Максимовна;1642015209;Байкальский банк;Аппарат Байкальского Банка;Кузнецов Наталья Максимовна;👎;196870;161725.0;21.73;35145.0;196870.0
Байкальский банк_Аппарат Байкальского Банка_3010491172;Байкальский банк_Аппарат Байкальского Банка_Егоров Владимир Андреевич;3010491172;Байкальский банк;Аппарат Байкальского Банка;Егоров Владимир Андреевич;👍;186226;94239.0;97.61;91987.0;186226.0
Байкальский банк_Аппарат Байкальского Банка_3010491172;Байкальский банк_Аппарат Байкальского Банка_Егоров Владимир Андреевич;3010491172;Байкальский банк;Аппарат Байкальского Банка;Егоров Владимир Андреевич;👍;94239;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_3651068222;Байкальский банк_Аппарат Байкальского Банка_Васильев Юлия Владимировна;3651068222;Байкальский банк;Аппарат Байкальского Банка;Васильев Юлия Владимировна;👍;216599;173001.0;25.2;43598.0;216599.0
Байкальский банк_Аппарат Байкальского Банка_3651068222;Байкальский банк_Аппарат Байкальского Банка_Васильев Юлия Владимировна;3651068222;Байкальский банк;Аппарат Байкальского Банка;Васильев Юлия Владимировна;👍;173001;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_3770861585;Байкальский банк_Аппарат Байкальского Банка_Новиков Наталья Николаевна;3770861585;Байкальский банк;Аппарат Байкальского Банка;Новиков Наталья Николаевна;👍;71429;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_3770861585;Байкальский банк_Аппарат Байкальского Банка_Новиков Наталья Николаевна;3770861585;Байкальский банк;Аппарат Байкальского Банка;Новиков Наталья Николаевна;👍;89596;71429.0;25.43;18167.0;89596.0
Байкальский банк_Аппарат Байкальского Банка_3989929041;Байкальский банк_Аппарат Байкальского Банка_Федоров Евгений Владимирович;3989929041;Байкальский банк;Аппарат Байкальского Банка;Федоров Евгений Владимирович;👍;141236;88953.0;58.78;52283.0;141236.0
Байкальский банк_Аппарат Байкальского Банка_3989929041;Байкальский банк_Аппарат Байкальского Банка_Федоров Евгений Владимирович;3989929041;Байкальский банк;Аппарат Байкальского Банка;Федоров Евгений Владимирович;👍;88953;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_4111658513;Байкальский банк_Аппарат Байкальского Банка_Павлов Иван Андреевич;4111658513;Байкальский банк;Аппарат Байкальского Банка;Павлов Иван Андреевич;👍;130803;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_4242686196;Байкальский банк_Аппарат Байкальского Банка_Кузнецов Иван Андреевич;4242686196;Байкальский банк;Аппарат Байкальского Банка;Кузнецов Иван Андреевич;👍;216631;121180.0;78.77;95451.0;216631.0
Байкальский банк_Аппарат Байкальского Банка_4242686196;Байкальский банк_Аппарат Байкальского Банка_Кузнецов Иван Андреевич;4242686196;Байкальский банк;Аппарат Байкальского Банка;Кузнецов Иван Андреевич;👍;121180;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_4256219019;Байкальский банк_Аппарат Байкальского Банка_Новиков Даниил Алексеевич;4256219019;Байкальский банк;Аппарат Байкальского Банка;Новиков Даниил Алексеевич;👍;97351;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_4256219019;Байкальский банк_Аппарат Байкальского Банка_Новиков Даниил Алексеевич;4256219019;Байкальский банк;Аппарат Байкальского Банка;Новиков Даниил Алексеевич;👍;215365;97351.0;121.23;118014.0;215365.0
Байкальский банк_Аппарат Байкальского Банка_4262904715;Байкальский банк_Аппарат Байкальского Банка_Кузнецов Ольга Андреевна;4262904715;Байкальский банк;Аппарат Байкальского Банка;Кузнецов Ольга Андреевна;👍;202419;175794.0;15.15;26625.0;202419.0
Байкальский банк_Аппарат Байкальского Банка_4262904715;Байкальский банк_Аппарат Байкальского Банка_Кузнецов Ольга Андреевна;4262904715;Байкальский банк;Аппарат Байкальского Банка;Кузнецов Ольга Андреевна;👍;175794;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_4297461828;Байкальский банк_Аппарат Байкальского Банка_Михайлов Роман Алексеевич;4297461828;Байкальский банк;Аппарат Байкальского Банка;Михайлов Роман Алексеевич;👍;191830;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_4297461828;Байкальский банк_Аппарат Байкальского Банка_Михайлов Роман Алексеевич;4297461828;Байкальский банк;Аппарат Байкальского Банка;Михайлов Роман Алексеевич;👍;207983;191830.0;8.42;16153.0;207983.0
Байкальский банк_Аппарат Байкальского Банка_5050178661;Байкальский банк_Аппарат Байкальского Банка_Федоров Вероника Андреевна;5050178661;Байкальский банк;Аппарат Байкальского Банка;Федоров Вероника Андреевна;👍;205653;190200.0;8.12;15453.0;205653.0
Байкальский банк_Аппарат Байкальского Банка_5050178661;Байкальский банк_Аппарат Байкальского Банка_Федоров Вероника Андреевна;5050178661;Байкальский банк;Аппарат Байкальского Банка;Федоров Вероника Андреевна;👍;190200;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_5274888460;Байкальский банк_Аппарат Байкальского Банка_Соколов Елена Николаевна;5274888460;Байкальский банк;Аппарат Байкальского Банка;Соколов Елена Николаевна;👍;64667;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_5274888460;Байкальский банк_Аппарат Байкальского Банка_Соколов Елена Николаевна;5274888460;Байкальский банк;Аппарат Байкальского Банка;Соколов Елена Николаевна;👍;214115;64667.0;231.1;149448.0;214115.0
Байкальский банк_Аппарат Байкальского Банка_5611194135;Байкальский банк_Аппарат Байкальского Банка_Степанов Дарья Андреевна;5611194135;Байкальский банк;Аппарат Байкальского Банка;Степанов Дарья Андреевна;👍;51035;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_5611194135;Байкальский банк_Аппарат Байкальского Банка_Степанов Дарья Андреевна;5611194135;Байкальский банк;Аппарат Байкальского Банка;Степанов Дарья Андреевна;👍;179241;51035.0;251.21;128206.0;179241.0
Байкальский банк_Аппарат Байкальского Банка_6167984956;Байкальский банк_Аппарат Байкальского Банка_Иванов Ольга Максимовна;6167984956;Байкальский банк;Аппарат Байкальского Банка;Иванов Ольга Максимовна;👎;196084;194726.0;0.7;1358.0;196084.0
Байкальский банк_Аппарат Байкальского Банка_6167984956;Байкальский банк_Аппарат Байкальского Банка_Иванов Ольга Максимовна;6167984956;Байкальский банк;Аппарат Байкальского Банка;Иванов Ольга Максимовна;👎;194726;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_6258514828;Байкальский банк_Аппарат Байкальского Банка_Волков Мария Михайловна;6258514828;Байкальский банк;Аппарат Байкальского Банка;Волков Мария Михайловна;👍;112525;75051.0;49.93;37474.0;112525.0
Байкальский банк_Аппарат Байкальского Банка_6258514828;Байкальский банк_Аппарат Байкальского Банка_Волков Мария Михайловна;6258514828;Байкальский банк;Аппарат Байкальского Банка;Волков Мария Михайловна;👍;75051;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_6346769345;Байкальский банк_Аппарат Байкальского Банка_Васильев Татьяна Сергеевна;6346769345;Байкальский банк;Аппарат Байкальского Банка;Васильев Татьяна Сергеевна;👎;177377;154755.0;14.62;22622.0;177377.0
Байкальский банк_Аппарат Байкальского Банка_6346769345;Байкальский банк_Аппарат Байкальского Банка_Васильев Татьяна Сергеевна;6346769345;Байкальский банк;Аппарат Байкальского Банка;Васильев Татьяна Сергеевна;👎;154755;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_6575348854;Байкальский банк_Аппарат Байкальского Банка_Семенов Анна Андреевна;6575348854;Байкальский банк;Аппарат Байкальского Банка;Семенов Анна Андреевна;👍;129536;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_6575348854;Байкальский банк_Аппарат Байкальского Банка_Семенов Анна Андреевна;6575348854;Байкальский банк;Аппарат Байкальского Банка;Семенов Анна Андреевна;👍;163044;129536.0;25.87;33508.0;163044.0
Байкальский банк_Аппарат Байкальского Банка_7097667945;Байкальский банк_Аппарат Байкальского Банка_Попов Роман Николаевич;7097667945;Байкальский банк;Аппарат Байкальского Банка;Попов Роман Николаевич;👎;159387;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_7097667945;Байкальский банк_Аппарат Байкальского Банка_Попов Роман Николаевич;7097667945;Байкальский банк;Аппарат Байкальского Банка;Попов Роман Николаевич;👎;175105;159387.0;9.86;15718.0;175105.0
Байкальский банк_Аппарат Байкальского Банка_7152226222;Байкальский банк_Аппарат Байкальского Банка_Морозов Татьяна Андреевна;7152226222;Байкальский банк;Аппарат Байкальского Банка;Морозов Татьяна Андреевна;👍;135839;74979.0;81.17;60860.0;135839.0
Байкальский банк_Аппарат Байкальского Банка_7152226222;Байкальский банк_Аппарат Байкальского Банка_Морозов Татьяна Андреевна;7152226222;Байкальский банк;Аппарат Байкальского Банка;Морозов Татьяна Андреевна;👍;74979;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_7404045983;Байкальский банк_Аппарат Байкальского Банка_Степанов Михаил Николаевич;7404045983;Байкальский банк;Аппарат Байкальского Банка;Степанов Михаил Николаевич;👍;95713;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_7404045983;Байкальский банк_Аппарат Байкальского Банка_Степанов Михаил Николаевич;7404045983;Байкальский банк;Аппарат Байкальского Банка;Степанов Михаил Николаевич;👍;157443;95713.0;64.49;61730.0;157443.0
Байкальский банк_Аппарат Байкальского Банка_7442595889;Байкальский банк_Аппарат Байкальского Банка_Смирнов Татьяна Алексеевна;7442595889;Байкальский банк;Аппарат Байкальского Банка;Смирнов Татьяна Алексеевна;👍;89818;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_7442595889;Байкальский банк_Аппарат Байкальского Банка_Смирнов Татьяна Алексеевна;7442595889;Байкальский банк;Аппарат Байкальского Банка;Смирнов Татьяна Алексеевна;👍;190224;89818.0;111.79;100406.0;190224.0
Байкальский банк_Аппарат Байкальского Банка_7865286867;Байкальский банк_Аппарат Байкальского Банка_Алексеев София Ивановна;7865286867;Байкальский банк;Аппарат Байкальского Банка;Алексеев София Ивановна;👍;139281;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_7865286867;Байкальский банк_Аппарат Байкальского Банка_Алексеев София Ивановна;7865286867;Байкальский банк;Аппарат Байкальского Банка;Алексеев София Ивановна;👍;206471;139281.0;48.24;67190.0;206471.0
Байкальский банк_Аппарат Байкальского Банка_8317508371;Байкальский банк_Аппарат Байкальского Банка_Федоров Владислав Михайлович;8317508371;Байкальский банк;Аппарат Байкальского Банка;Федоров Владислав Михайлович;👍;111533;72814.0;53.18;38719.0;111533.0
Байкальский банк_Аппарат Байкальского Банка_8317508371;Байкальский банк_Аппарат Байкальского Банка_Федоров Владислав Михайлович;8317508371;Байкальский банк;Аппарат Байкальского Банка;Федоров Владислав Михайлович;👍;72814;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_8478048649;Байкальский банк_Аппарат Байкальского Банка_Федоров Алиса Николаевна;8478048649;Байкальский банк;Аппарат Байкальского Банка;Федоров Алиса Николаевна;👍;139574;109951.0;26.94;29623.0;139574.0
Байкальский банк_Аппарат Байкальского Банка_8478048649;Байкальский банк_Аппарат Байкальского Банка_Федоров Алиса Николаевна;8478048649;Байкальский банк;Аппарат Байкальского Банка;Федоров Алиса Николаевна;👍;109951;N/A;N/A;N/A;N/A
Байкальский банк_Аппарат Байкальского Банка_8984162467;Байкальский банк_Аппарат Байкальского Банка_Иванов Михаил Николаевич;8984162467;Байкальский банк;Аппарат Байкальского Банка;Иванов Михаил Николаевич;👍;213596;163661.0;30.51;49935.0;213596.0
Байкальский банк_Аппарат Байкальского Банка_9322599884;Байкальский банк_Аппарат Байкальского Банка_Николаев Даниил Дмитриевич;9322599884;Байкальский банк;Аппарат Байкальского Банка;Николаев Даниил Дмитриевич;👍;178820;176206.0;1.48;2614.0;178820.0
Байкальский банк_Аппарат Байкальского Банка_9322599884;Байкальский банк_Аппарат Байкальского Банка_Николаев Даниил Дмитриевич;9322599884;Байкальский банк;Аппарат Байкальского Банка;Николаев Даниил Дмитриевич;👍;176206;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_0403552928;Байкальский банк_Бурятское ГОСБ №8601_Морозов Сергей Андреевич;403552928;Байкальский банк;Бурятское ГОСБ №8601;Морозов Сергей Андреевич;👍;174933;120486.0;45.19;54447.0;174933.0
Байкальский банк_Бурятское ГОСБ №8601_0403552928;Байкальский банк_Бурятское ГОСБ №8601_Морозов Сергей Андреевич;403552928;Байкальский банк;Бурятское ГОСБ №8601;Морозов Сергей Андреевич;👍;120486;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_0797619041;Байкальский банк_Бурятское ГОСБ №8601_Лебедев Артем Максимович;797619041;Байкальский банк;Бурятское ГОСБ №8601;Лебедев Артем Максимович;👎;157529;149820.0;5.15;7709.0;157529.0
Байкальский банк_Бурятское ГОСБ №8601_0797619041;Байкальский банк_Бурятское ГОСБ №8601_Лебедев Артем Максимович;797619041;Байкальский банк;Бурятское ГОСБ №8601;Лебедев Артем Максимович;👎;149820;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_1007655988;Байкальский банк_Бурятское ГОСБ №8601_Петров Константин Дмитриевич;1007655988;Байкальский банк;Бурятское ГОСБ №8601;Петров Константин Дмитриевич;👍;94865;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_1007655988;Байкальский банк_Бурятское ГОСБ №8601_Петров Константин Дмитриевич;1007655988;Байкальский банк;Бурятское ГОСБ №8601;Петров Константин Дмитриевич;👍;146228;94865.0;54.14;51363.0;146228.0
Байкальский банк_Бурятское ГОСБ №8601_1553226756;Байкальский банк_Бурятское ГОСБ №8601_Козлов Даниил Сергеевич;1553226756;Байкальский банк;Бурятское ГОСБ №8601;Козлов Даниил Сергеевич;👍;164178;122816.0;33.68;41362.0;164178.0
Байкальский банк_Бурятское ГОСБ №8601_1553226756;Байкальский банк_Бурятское ГОСБ №8601_Козлов Даниил Сергеевич;1553226756;Байкальский банк;Бурятское ГОСБ №8601;Козлов Даниил Сергеевич;👍;122816;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_1913318022;Байкальский банк_Бурятское ГОСБ №8601_Попов Максим Владимирович;1913318022;Байкальский банк;Бурятское ГОСБ №8601;Попов Максим Владимирович;👍;104852;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_1913318022;Байкальский банк_Бурятское ГОСБ №8601_Попов Максим Владимирович;1913318022;Байкальский банк;Бурятское ГОСБ №8601;Попов Максим Владимирович;👍;201415;104852.0;92.09;96563.0;201415.0
Байкальский банк_Бурятское ГОСБ №8601_2011903577;Байкальский банк_Бурятское ГОСБ №8601_Федоров Александр Алексеевич;2011903577;Байкальский банк;Бурятское ГОСБ №8601;Федоров Александр Алексеевич;👍;195895;177586.0;10.31;18309.0;195895.0
Байкальский банк_Бурятское ГОСБ №8601_2011903577;Байкальский банк_Бурятское ГОСБ №8601_Федоров Александр Алексеевич;2011903577;Байкальский банк;Бурятское ГОСБ №8601;Федоров Александр Алексеевич;👍;177586;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_2061911708;Байкальский банк_Бурятское ГОСБ №8601_Алексеев Даниил Михайлович;2061911708;Байкальский банк;Бурятское ГОСБ №8601;Алексеев Даниил Михайлович;👎;71138;56968.0;24.87;14170.0;71138.0
Байкальский банк_Бурятское ГОСБ №8601_2061911708;Байкальский банк_Бурятское ГОСБ №8601_Алексеев Даниил Михайлович;2061911708;Байкальский банк;Бурятское ГОСБ №8601;Алексеев Даниил Михайлович;👎;56968;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_2147344451;Байкальский банк_Бурятское ГОСБ №8601_Васильев Мария Дмитриевна;2147344451;Байкальский банк;Бурятское ГОСБ №8601;Васильев Мария Дмитриевна;👍;156802;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_2147344451;Байкальский банк_Бурятское ГОСБ №8601_Васильев Мария Дмитриевна;2147344451;Байкальский банк;Бурятское ГОСБ №8601;Васильев Мария Дмитриевна;👍;204044;156802.0;30.13;47242.0;204044.0
Байкальский банк_Бурятское ГОСБ №8601_2264518609;Байкальский банк_Бурятское ГОСБ №8601_Степанов Николай Александрович;2264518609;Байкальский банк;Бурятское ГОСБ №8601;Степанов Николай Александрович;👎;166313;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_2264518609;Байкальский банк_Бурятское ГОСБ №8601_Степанов Николай Александрович;2264518609;Байкальский банк;Бурятское ГОСБ №8601;Степанов Николай Александрович;👎;177086;166313.0;6.48;10773.0;177086.0
Байкальский банк_Бурятское ГОСБ №8601_2597701037;Байкальский банк_Бурятское ГОСБ №8601_Смирнов Екатерина Николаевна;2597701037;Байкальский банк;Бурятское ГОСБ №8601;Смирнов Екатерина Николаевна;👍;100579;76415.0;31.62;24164.0;100579.0
Байкальский банк_Бурятское ГОСБ №8601_2597701037;Байкальский банк_Бурятское ГОСБ №8601_Смирнов Екатерина Николаевна;2597701037;Байкальский банк;Бурятское ГОСБ №8601;Смирнов Екатерина Николаевна;👍;76415;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_3224912107;Байкальский банк_Бурятское ГОСБ №8601_Кузнецов Екатерина Владимировна;3224912107;Байкальский банк;Бурятское ГОСБ №8601;Кузнецов Екатерина Владимировна;👍;110408;75600.0;46.04;34808.0;110408.0
Байкальский банк_Бурятское ГОСБ №8601_3224912107;Байкальский банк_Бурятское ГОСБ №8601_Кузнецов Екатерина Владимировна;3224912107;Байкальский банк;Бурятское ГОСБ №8601;Кузнецов Екатерина Владимировна;👍;75600;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_3579689902;Байкальский банк_Бурятское ГОСБ №8601_Лебедев Ирина Владимировна;3579689902;Байкальский банк;Бурятское ГОСБ №8601;Лебедев Ирина Владимировна;👍;149322;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_3579689902;Байкальский банк_Бурятское ГОСБ №8601_Лебедев Ирина Владимировна;3579689902;Байкальский банк;Бурятское ГОСБ №8601;Лебедев Ирина Владимировна;👍;167260;149322.0;12.01;17938.0;167260.0
Байкальский банк_Бурятское ГОСБ №8601_3930434003;Байкальский банк_Бурятское ГОСБ №8601_Михайлов Даниил Сергеевич;3930434003;Байкальский банк;Бурятское ГОСБ №8601;Михайлов Даниил Сергеевич;👍;176020;168226.0;4.63;7794.0;176020.0
Байкальский банк_Бурятское ГОСБ №8601_3930434003;Байкальский банк_Бурятское ГОСБ №8601_Михайлов Даниил Сергеевич;3930434003;Байкальский банк;Бурятское ГОСБ №8601;Михайлов Даниил Сергеевич;👍;168226;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_3953267011;Байкальский банк_Бурятское ГОСБ №8601_Новиков Юлия Ивановна;3953267011;Байкальский банк;Бурятское ГОСБ №8601;Новиков Юлия Ивановна;👍;184870;143776.0;28.58;41094.0;184870.0
Байкальский банк_Бурятское ГОСБ №8601_3953267011;Байкальский банк_Бурятское ГОСБ №8601_Новиков Юлия Ивановна;3953267011;Байкальский банк;Бурятское ГОСБ №8601;Новиков Юлия Ивановна;👍;143776;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_4009533206;Байкальский банк_Бурятское ГОСБ №8601_Петров Сергей Дмитриевич;4009533206;Байкальский банк;Бурятское ГОСБ №8601;Петров Сергей Дмитриевич;👍;206371;87331.0;136.31;119040.0;206371.0
Байкальский банк_Бурятское ГОСБ №8601_4009533206;Байкальский банк_Бурятское ГОСБ №8601_Петров Сергей Дмитриевич;4009533206;Байкальский банк;Бурятское ГОСБ №8601;Петров Сергей Дмитриевич;👍;87331;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_4736154593;Байкальский банк_Бурятское ГОСБ №8601_Смирнов Елена Андреевна;4736154593;Байкальский банк;Бурятское ГОСБ №8601;Смирнов Елена Андреевна;👍;186590;135381.0;37.83;51209.0;186590.0
Байкальский банк_Бурятское ГОСБ №8601_4736154593;Байкальский банк_Бурятское ГОСБ №8601_Смирнов Елена Андреевна;4736154593;Байкальский банк;Бурятское ГОСБ №8601;Смирнов Елена Андреевна;👍;135381;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_5598523972;Байкальский банк_Бурятское ГОСБ №8601_Попов Даниил Иванович;5598523972;Байкальский банк;Бурятское ГОСБ №8601;Попов Даниил Иванович;👍;143922;141688.0;1.58;2234.0;143922.0
Байкальский банк_Бурятское ГОСБ №8601_5598523972;Байкальский банк_Бурятское ГОСБ №8601_Попов Даниил Иванович;5598523972;Байкальский банк;Бурятское ГОСБ №8601;Попов Даниил Иванович;👍;141688;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_6515153187;Байкальский банк_Бурятское ГОСБ №8601_Федоров Денис Александрович;6515153187;Байкальский банк;Бурятское ГОСБ №8601;Федоров Денис Александрович;👍;77860;N/A;N/A;N/A;N/A
Байкальский банк_Бурятское ГОСБ №8601_6515153187;Байкальский банк_Бурятское ГОСБ №8601_Федоров Денис Александрович;6515153187;Байкальский банк;Бурятское ГОСБ №8601;Федоров Денис Александрович;👍;102485;77860.0;31.63;24625.0;102485.0
